project,required,dep
urllib3,False,pyOpenSSL
urllib3,False,cryptography
urllib3,False,idna
urllib3,False,certifi
urllib3,False,ipaddress
urllib3,False,PySocks
urllib3,False,brotlipy
setuptools,False,certifi
setuptools,False,sphinx
setuptools,False,jaraco.packaging
setuptools,False,rst.linker
setuptools,False,pygments-github-lexers
setuptools,False,sphinx-inline-tabs
setuptools,False,wincertstore
setuptools,False,pytest
setuptools,False,pytest-checkdocs
setuptools,False,pytest-flake8
setuptools,False,pytest-cov
setuptools,False,pytest-enabler
setuptools,False,mock
setuptools,False,flake8-2020
setuptools,False,virtualenv
setuptools,False,pytest-virtualenv
setuptools,False,wheel
setuptools,False,paver
setuptools,False,pip
setuptools,False,jaraco.envs
setuptools,False,pytest-xdist
setuptools,False,jaraco.path
setuptools,False,pytest-black
setuptools,False,pytest-mypy
requests,True,chardet
requests,True,idna
requests,True,urllib3
requests,True,certifi
requests,False,pyOpenSSL
requests,False,cryptography
requests,False,PySocks
requests,False,win-inet-pton
python-dateutil,True,six
rsa,True,pyasn1
wheel,False,pytest
wheel,False,pytest-cov
cffi,True,pycparser
protobuf,True,six
jinja2,True,MarkupSafe
jinja2,False,Babel
attrs,False,coverage[toml]
attrs,False,hypothesis
attrs,False,pympler
attrs,False,pytest
attrs,False,six
attrs,False,mypy
attrs,False,pytest-mypy-plugins
attrs,False,zope.interface
attrs,False,furo
attrs,False,sphinx
attrs,False,sphinx-notfound-page
attrs,False,pre-commit
oauthlib,False,cryptography
oauthlib,False,blinker
oauthlib,False,pyjwt
importlib-metadata,True,zipp
importlib-metadata,True,typing-extensions
importlib-metadata,False,sphinx
importlib-metadata,False,jaraco.packaging
importlib-metadata,False,rst.linker
importlib-metadata,False,pytest
importlib-metadata,False,pytest-checkdocs
importlib-metadata,False,pytest-flake8
importlib-metadata,False,pytest-cov
importlib-metadata,False,pytest-enabler
importlib-metadata,False,packaging
importlib-metadata,False,pep517
importlib-metadata,False,pyfakefs
importlib-metadata,False,flufl.flake8
importlib-metadata,False,pytest-black
importlib-metadata,False,pytest-mypy
importlib-metadata,False,importlib-resources
zipp,False,sphinx
zipp,False,jaraco.packaging
zipp,False,rst.linker
zipp,False,pytest
zipp,False,pytest-checkdocs
zipp,False,pytest-flake8
zipp,False,pytest-cov
zipp,False,pytest-enabler
zipp,False,jaraco.itertools
zipp,False,func-timeout
zipp,False,pytest-black
zipp,False,pytest-mypy
pandas,True,python-dateutil
pandas,True,pytz
pandas,True,numpy
pandas,False,pytest
pandas,False,pytest-xdist
pandas,False,hypothesis
click,True,colorama
click,True,importlib-metadata
packaging,True,pyparsing
pyasn1-modules,True,pyasn1
google-auth,True,cachetools
google-auth,True,pyasn1-modules
google-auth,True,setuptools
google-auth,True,six
google-auth,True,rsa
google-auth,False,aiohttp
google-auth,False,pyopenssl
google-auth,False,pyu2f
google-api-core,True,googleapis-common-protos
google-api-core,True,protobuf
google-api-core,True,google-auth
google-api-core,True,requests
google-api-core,True,setuptools
google-api-core,True,packaging
google-api-core,True,six
google-api-core,True,pytz
google-api-core,True,futures
google-api-core,False,grpcio
google-api-core,False,grpcio-gcp
jsonschema,True,attrs
jsonschema,True,pyrsistent
jsonschema,True,setuptools
jsonschema,True,six
jsonschema,True,functools32
jsonschema,True,importlib-metadata
jsonschema,False,idna
jsonschema,False,jsonpointer
jsonschema,False,rfc3987
jsonschema,False,strict-rfc3339
jsonschema,False,webcolors
jsonschema,False,rfc3986-validator
jsonschema,False,rfc3339-validator
scipy,True,numpy
werkzeug,True,dataclasses
werkzeug,False,watchdog
pyjwt,False,cryptography
pyjwt,False,sphinx
pyjwt,False,sphinx-rtd-theme
pyjwt,False,zope.interface
pyjwt,False,pytest
pyjwt,False,coverage[toml]
pyjwt,False,mypy
pyjwt,False,pre-commit
lxml,False,cssselect
lxml,False,html5lib
lxml,False,BeautifulSoup4
lxml,False,Cython
psutil,False,ipaddress
psutil,False,mock
psutil,False,unittest2
psutil,False,enum34
psutil,False,pywin32
psutil,False,wmi
google-api-python-client,True,httplib2
google-api-python-client,True,google-auth
google-api-python-client,True,google-auth-httplib2
google-api-python-client,True,google-api-core
google-api-python-client,True,six
google-api-python-client,True,uritemplate
googleapis-common-protos,True,protobuf
googleapis-common-protos,False,grpcio
google-cloud-storage,True,google-auth
google-cloud-storage,True,google-cloud-core
google-cloud-storage,True,google-resumable-media
google-cloud-storage,True,requests
google-resumable-media,True,six
google-resumable-media,True,crcmod
google-resumable-media,True,google-crc32c
google-resumable-media,False,aiohttp
google-resumable-media,False,requests
typing-extensions,True,typing
google-cloud-core,True,google-api-core
google-cloud-core,True,google-auth
google-cloud-core,True,six
google-cloud-core,False,grpcio
pytest,True,attrs
pytest,True,iniconfig
pytest,True,packaging
pytest,True,pluggy
pytest,True,py
pytest,True,toml
pytest,True,importlib-metadata
pytest,True,atomicwrites
pytest,True,colorama
pytest,False,argcomplete
pytest,False,hypothesis
pytest,False,mock
pytest,False,nose
pytest,False,requests
pytest,False,xmlschema
msrest,True,requests
msrest,True,requests-oauthlib
msrest,True,isodate
msrest,True,certifi
msrest,True,enum34
msrest,True,typing
msrest,False,aiohttp
msrest,False,aiodns
pyopenssl,True,cryptography
pyopenssl,True,six
pyopenssl,False,sphinx
pyopenssl,False,sphinx-rtd-theme
pyopenssl,False,flaky
pyopenssl,False,pretend
pyopenssl,False,pytest
wcwidth,True,backports.functools-lru-cache
grpcio,True,six
grpcio,True,futures
grpcio,True,enum34
grpcio,False,grpcio-tools
pluggy,True,importlib-metadata
pluggy,False,pre-commit
pluggy,False,tox
flask,True,Werkzeug
flask,True,Jinja2
flask,True,itsdangerous
flask,True,click
flask,False,asgiref
flask,False,python-dotenv
yarl,True,multidict
yarl,True,idna
yarl,True,typing-extensions
google-auth-httplib2,True,google-auth
google-auth-httplib2,True,httplib2
google-auth-httplib2,True,six
pexpect,True,ptyprocess
prometheus-client,False,twisted
azure-storage-blob,True,azure-core
azure-storage-blob,True,msrest
azure-storage-blob,True,cryptography
azure-storage-blob,True,futures
azure-storage-blob,True,azure-storage-nspkg
azure-storage-blob,True,enum34
azure-storage-blob,True,typing
aiohttp,True,attrs
aiohttp,True,chardet
aiohttp,True,multidict
aiohttp,True,async-timeout
aiohttp,True,yarl
aiohttp,True,typing-extensions
aiohttp,True,idna-ssl
aiohttp,False,aiodns
aiohttp,False,brotlipy
aiohttp,False,cchardet
scikit-learn,True,numpy
scikit-learn,True,scipy
scikit-learn,True,joblib
scikit-learn,True,threadpoolctl
scikit-learn,False,matplotlib
scikit-learn,False,pandas
scikit-learn,False,memory-profiler
scikit-learn,False,scikit-image
scikit-learn,False,seaborn
scikit-learn,False,sphinx
scikit-learn,False,sphinx-gallery
scikit-learn,False,numpydoc
scikit-learn,False,Pillow
scikit-learn,False,sphinx-prompt
scikit-learn,False,pytest
scikit-learn,False,pytest-cov
scikit-learn,False,flake8
